Query	Closest-1	Closest-2	Closest-3
Can you run your car on water?	How can you run a car on water?	How can you run a car on water?	Can you run your car on water?
How much time do I have to devote for CAT preparation?	How do scientists determine the age of water?	What are the most trusted sources of news?	What is the significance of 9 9 5 to a Pythagorean?
What has been your most embarrassing moment from childhood?	What has been your most embarrassing moment from childhood?	What has been your most embarrassing moment from childhood?	What was your most embarrassing moment in childhood?
What is the difference between "planned" and "non-planned" expenditure in the Indian annual Budget?	What do high-end restaurants do if a credit card is declined at the end of a meal?	What do high-end restaurants do if a credit card is declined at the end of a meal?	Can you share the time that you ran from the cops and got away?
How hard is it to get an engineering degree in China?	Where can I get very efficient plastering service in Boston?	How could I activate my Google AdSense account?	What are the other networks of smart people like in the top universities?
How can get accommodation in budget hotels in Amritsar in this coming new year eve?	How do I write interview questions to Mr. Sachin Tendulkar?	Also known as low back pain?	Sir explain about mutual funds and investment in mutual funds is a healthy economic mind or not?
Why do some people say atheists don't have morals?	Can you teach me English and I'll teach you Chinese?	What is the thing that girls feel about having breasts?	What are some examples of non living organisms?
Who is the most popular character in the Game of Thrones series?	What are the best books on mathematical problem solving?	What's the different between RELEASE and VERSION in Software Engineering?	How can I find my life partner on LinkedIn?
What is the average weather in New York City during October?	Is it necessary for Muslim women to wear the hijab? What if they don't wear it?	Has anyone found a job in Canada from India?	What are some symbols of nationalism?
Can time travel ever be possible?	Can time travel ever be possible?	Can time travel ever be possible?	Can time travel ever be possible?
Why do people get jealous?	Why does people get jealous of you?	Why do I get jealous of people?	Why do I get jealous of people?
What were Winston Churchill’s strategies to win WW2?	Has anyone ever died from lack of sleep?	Which book is best for learning C programming by a beginner?	How can I whiten my groin area?
What are your views about Kakashi's face-reveal?	What are some of the best WhatsApp statuses?	What are some of the best WhatsApp statuses?	What are some of the best WhatsApp statuses?
How is sodium bicarbonate with HCL used and what are some examples?	How long may chicken and dumplings be refrigerated?	Are long hair and beards allowed in police departments?	What are the dimensions of rural employment in India?
Could Floyd Mayweather knock out Conor McGregor in a boxing match?	What is life like in Portugal? Especially for women?	What is the difference between soft and hard computing?	How have pangolins adapted to survive in nature?
What are the strongest majors in terms of job prospects and what are the weakest majors at Columbus State?	What are the strongest majors in terms of job prospects and what are the weakest majors at Columbus State?	What are the strongest majors in terms of job prospects and what are the weakest majors at Columbus State?	What are the strongest majors in terms of job prospects and what are the weakest majors at Columbus State?
Did QVC's Lisa Robertson die? If so, how and when did she die?	Did QVC's Lisa Robertson die? If so, how and when did she die?	Did QVC's Lisa Robertson die? If so, how and when did she die?	Did QVC's Lisa Robertson die? If so, how and when did she die?
How can one get a job online that pays real cash?	Will my public high school keep me back in 8th grade?	What would happen now if people stop wearing clothes and live naked like in ancient times?	When would be the right time to start classes for my CA final attempt?
How do you train a Miniature Siberian Husky?	How can I make myself to get out of my super comfort zone?	How can I make myself to get out of my super comfort zone?	How can I make myself to get out of my super comfort zone?
How do I get better at physics?	How do I get better at physics?	How can I get better at calculus?	How do I make a symposium more interesting?
Client has 5 DB systems (Sales, Finance etc.) and complains about responsiveness and data quality.How would you fix it to have sth modern? Hadoop?	Client has 5 DB systems (Sales, Finance etc.) and complains about responsiveness and data quality.How would you fix it to have sth modern? Hadoop?	Is Django CMS a good starting point for a software port from a Windows installable application to a cloud based service?	Is Django CMS a good starting point for a software port from a Windows installable application to a cloud based service?
What is the future scope for procurement, logistics, operations and supply chain management?	In what language should I record YouTube videos if I live in Poland and fluent in both languages?	In what language should I record YouTube videos if I live in Poland and fluent in both languages?	What are the good documentaries on business and economic history that are available on Youtube?
Who would play you in a movie of your life?	Who would play you in the movie of your life?	Who would play you in a movie of your life?	Who would play you in a movie of your life?
Civil building activities safety hazard when some one are working on the height?	What philosophical arguments make the existence of God more probable than His non-existence (and vice versa)?	Would you say present day wars are really about freedom? In comparison to wars fought before?	I am going to join Mu Sigma next week. What are some do's and dont's that I must know?
What are the disadvantages or faults in the Lodha Committee?	How do I use thank you and thanking you? What's the basic difference between these two?	How can I dowload eenadu newspaper pdf?	How can I dowload eenadu newspaper pdf?
Why do bot porn blogs follow me on Tumblr?	Why do bot porn blogs follow me on Tumblr?	Why do bot porn blogs follow me on Tumblr?	Pakistani men are sexy, what do you think?
Who has better 3G service and connectivity: Vodafone or Tata Docomo?	If I see a contact online what does it mean?	Are there very successful people who don't make their bed in the morning?	What should I do first to start learning web development?
What careers can I get into with an MBA in Management Information System?	What is the first postulate of special relativity?	What are some of the best Telugu movies to watch before you die?	Do you have sympathy for drug addicts? Why or why not?
How hard is it to practice water polo compared to aquajogging?	How hard is it to practice water polo compared to aquajogging?	How can you identify if a black snake with white rings is venomous?	Are there any good psychologists in Jaipur for adult ADHD diagnosis?
What are the 10 coolest science facts?	What are the 10 coolest science facts?	How do you deal with people who talk behind your back?	How do you deal with people who talk behind your back?
What you guys think about ecommerce ecosystem of kerala?	Who is Joe Mixon?	What would happen if Indonesia or Malaysia invaded Singapore?	Why is Germany not allowed to develop rockets but Japan is?
What do you think about Barack Obama?	If I purchase an iPhone in USA, will it work in India?	Is cancer curable in india?	What benefits Google Pixel have over iPhone 7?
How did you gain 20 pounds in 2 months?	How did you gain 20 pounds in 2 months?	How can I prepare for GRE in 20 days?	Which are the top 20 MBA colleges in India?
Why did crop circles start appearing?	Why did crop circles start appearing?	When did crop circles start appearing?	Why did crop circles start appearing?
Urine drops after urinating and premature ejaculation at the age of 18. What should I do?	If you block someone on Quora, can they still comment on your board posts?	What can I achieve if I continuously run 3km daily and perform no other exercise apart from running for the next 2 months?	What can I achieve if I continuously run 3km daily and perform no other exercise apart from running for the next 2 months?
Is the new 2000 Rupee note really implementing NGC (Nano GPS Chip)?	Is the new 2000 Rupee note really implementing NGC (Nano GPS Chip)?	Is the new 2000 Rupee note really implementing NGC (Nano GPS Chip)?	Is the new 2000 Rupee note really implementing NGC (Nano GPS Chip)?
Are mini Goldendoodles hypoallergenic?	Why depression causes hair loss?	Do we need any medium to transport electromagnetic waves?	Is RNA always single stranded?
How do low-income people survive in San Francisco with its high rent?	Is it possible to learn any foreign language alone via YouTube?	What are the major reasons for the prevalence of child labour parts of the world?	Is it a good practice to put in a continuous low limit order on a stock/ETF?
How does call forwarding work on an AT&T landline?	Which IB subjects should I choose for economics?	How do I end my relationship with my ex?	What type of government does Turkey have? How does it compare to the one in Ecuador?
Is Kashmir safe in winters for travellers?	What would happen to an astronaut who took their helmet off in space for a few seconds?	What would happen to an astronaut who took their helmet off in space for a few seconds?	What would happen to an astronaut who took their helmet off in space for a few seconds?
What are some of the top paying career options after doing a B.Tech in mechanical engineering?	What are some of the top paying career options after doing a B.Tech in mechanical engineering?	What are some of the top paying career options after doing a B.Tech in mechanical engineering?	What are some of the top paying career options after doing a B.Tech in mechanical engineering?
What was whiskey like in the old west?	Why do people wear cotton clothes during summer?	How many grafts do I need to cover my bald area?	How do I study permutation and combination for GATE?
Is it possible that black hole is a tunnel which transfers matter and energy to other parallel universe?	How does Ichigo controls his full hollow form?	Human Behavior: Does it make me a bad person if I don't agree with gay marriage, or am I entitled to my own opinion?	What is an alternative to Google Summer of Code?
Which are the top Android development companies to join for a fresher in India?	What actress/celebrity has the best ass/derriere?	Why do planets moving away from us increase their wavelengths?	Could Ned have become king of the throne if he wanted to?
Which is correct, "Monday to Friday" or "Monday through Friday"?	Which is correct, "Monday to Friday" or "Monday through Friday"?	Which is correct, "Monday to Friday" or "Monday through Friday"?	I fantasize watching women wrestling. is there any issue with me?
What are the most upcoming fields in IT in india?	Is Israel funding ISIS?	Is Israel funding ISIS?	Which company provides the best SEO services in Delhi?
What are some creative ideas for cards?	What is the thing that you did that made you feel proud of yourself?	What's the best way to earn a living online?	What is short term memory loss?
How good is NobleProg?	What are the best websites offering online English courses?	What opportunities lie my way if I do an MBA after law?	Which is better for severe hair fall treatment, allopathy or homeopathy?
How can joining a Toastmasters club help?	What's the best app to see if my phone is being tapped?	How could Trump actually not pay any taxes?	What are the ways to start a small scale business?
What are some things new employees should know going into their first day at LabCorp?	Which country was conquered/occupied the most throughout its history?	How do porn stars generally feel during shooting?	Will putting a cover on my car when not in use extend its lifespan?
What is the correct response to the question "How do you do"?	What is the correct response to the question "How do you do"?	What is the correct response to the question "How do you do"?	Which one is more elastic in their property Elastic material or Brittle material and how?
Why was the Battle of Wounded Knee fought? Who won the war?	I have a phobia of having a soul, how can I stop this?	Why do my dogs love to eat tuna fish?	When is the best time of year to visit Japan?
Where can I get interesting story books in Australia?	Why have there not been any Jewish US Presidents?	Who are the most overrated heroes of Indian history?	Which is the best torrent site for bollywood movies?
How can I know deeper about android operating system as case study?	Would lawyers use a robot chef at home?	What's it like to have parents with an open marriage?	What is the best gift for a friend's birthday?
Can i get pregnant the day after my period ends?	Can i get pregnant the day after my period ends?	Can i get pregnant the day after my period ends?	Can i get pregnant the day after my period ends?
For admission in medical college only neet required?	Can i send my GRE scores to the four universities freely?	Is there any difference you notice between Prozac and the generic form?	Is there any difference you notice between Prozac and the generic form?
What is a marginal decision?	How do you develop the muscles in your hand?	How can I be enthusiastic in work?	How do I pitch a client?
What are the best factories to start?	What are the things that make you feel proud of yourself?	What's the best way to get a date?	What's the best way to get a date?
How do I reach Calangute beach in Goa from Bangalore by Bus?	How long does it take for sperm to regenerate between each ejaculation?	What is Travis Kalanick like in person?	What is the fermi energy of Beryllium?
What are some must read adventure books like Treasure Island?	What would cause a demand curve to shift to the right?	What would cause a demand curve to shift to the right?	What is the difference between the single pointer and double pointer?
Is climate change stoppable?	Is climate change stoppable?	What is the technology behind Google Nose?	How can a clinical psychologist get job outside India?
Which are the most inspirational movies?	Which are the most inspirational movies?	Which are the most inspirational movies?	Which are the most inspirational movies?
How does a 17 year old make money without working?	How does a 17 year old make money without working?	Does a coaching institute make a difference if one is preparing for a medical exam with a second drop?	What's the a good way for a 17 year old teen to make money without finding a job?
How do you cancel your Comcast Triple Play package before your contract is up?	Can an L2 visa holder work without EAD?	What are some differences between American and European (British) universities?	What are the best universities for studying film-making in Russia, as a foreigner?
How does Google earn money?	How does Google earn money?	How can we earn money from Google?	How does Google earn money?
[READ DESCRIPTION] I always get pissed off, when I see, that something changes in my world (YouTube, etc.) — how can I deal more easily with that?	[READ DESCRIPTION] I always get pissed off, when I see, that something changes in my world (YouTube, etc.) — how can I deal more easily with that?	What does it mean when someone says "two o'clock", or "seven o'clock" in order to show a particular direction without pointing it out? How does this system work?	Im in love with my bisexual best friend who is also a guy and has a girlfriend, and I want to tell him. How do I move on?
Is it possible to dream about someone you seldom think about?	What was the worst lie that you have ever been told about?	Can drinking too much coffee actually make you more tired?	What is the best compliment given by a girl to a guy?
Is there any relationship between earth's natural magnetism and earth's gravity?	Is there any relationship between earth's natural magnetism and earth's gravity?	Is it good marketing to make a commercial people hate?	Which are the best CFA coaching institutes in Pune?
How does a person get so many upvotes on Quora?	How does a person get so many upvotes on Quora?	How does a person get so many upvotes on Quora?	What does it mean when someone upvotes me on Quora?
Why can India not have debates during elections, as the US has Presidential debates?	Why can India not have debates during elections, as the US has Presidential debates?	Why can India not have debates during elections, as the US has Presidential debates?	Why can India not have debates during elections, as the US has Presidential debates?
What's your longest flight?	What's your biggest fear?	What's your biggest fear?	What do you love most about your country?
Why isn't Singapore a part of Malaysia?	Which is easier: Dutch, Norwegian, Swedish, or German?	Why are apples (fruit) imported in Philippines?	Why are apples (fruit) imported in Philippines?
What is the derivative of the factorial function: [math]\frac{d}{dx}\left( x!\right)[/math]?	Why shunt resistance decreased by increasing Copper percentage in quantum dot sensitized solar cell?	The alleged father is not excluded as the biological father of the tested child. What does this result mean?	The alleged father is not excluded as the biological father of the tested child. What does this result mean?
Was Hillary disbarred and if so why?	Was Hillary disbarred?	Was Hillary disbarred and if so why?	What rock bands are the most overrated?
How many pumpkin seeds is an ounce of it?	How do I convert a .jpeg image into a .mat file?	Register ecommerce website?	What are the best Magento pop up extensions out there? Both free and paid?
Gears of War 3 (2011 game): How were beta codes obtained?	Gears of War 3 (2011 game): How were beta codes obtained?	What websites are similar to checklinksite.com?	Can my girlfriend kick me and my children out of her home with no notice?
How much caffeine (in mg) does one teaspoon of Nescafe Classic Instant contain?	How much caffeine (in mg) does one teaspoon of Nescafe Classic Instant contain?	How much caffeine (in mg) does one teaspoon of Nescafe Classic Instant contain?	How do I prove [math]\sin \theta \cot \theta = \cos \theta[/math]?
What are the side effects of Demonetization?	What is a short circuit, and what is short circuiting (in simple English)?	How can I organize a Quora Meetup in Pune?	Why are most answers on Quora so long winded and rambling?
Why Churches in Western Communities granting free Wi-Fi in Churches?	How do I solve [math]\displaystyle\lim_{x\to \infty}(\sqrt[3]{x^2 - x^3}+x)[/math]?	When tanks and infantry are cooperating in urban combat, does the tank commander or infantry commander tell the other where to go and what to do?	Purchased a packed food item from a superstore in a mall and when I opened it at home, it turned out to be rancid ,stale now what should I do ?
What masonry companies are based in Queensland, Australia?	Should I learn Spanish, French, or Russian as a second language and why?	What are some of the best and worst things about living in Colorado, USA?	How scripted are the scenes on Made In Chelsea?
Does drinking hot water benefit or harm the body?	Men: What would you do if you were in a female body for one day?	Men: What would you do if you were in a female body for one day?	Can some one suggest me a Good code learning site?
I have PTSD, depressed and lately been lazy. I despise life, afraid of attachments and I feel like I'll never get what I want. Why?	I have PTSD, depressed and lately been lazy. I despise life, afraid of attachments and I feel like I'll never get what I want. Why?	How was Harry Potter able to burn Professor Quirrell's body with his hands, in Harry Potter and the Sorcerer's(Philosopher's) Stone?	I got 143 marks in Jee Main Examination . Which college I can get admission through this score ?
What's the polite response to someone telling you that their wife's in labor?	Are there American spies in North Korea?	What is the tenure of the Governor of the reserve bank of India?	What is the SAR value of oppo F1 s?
How can I draw graphs of equations quickly in Math?	How do you approach and solve complex coding or algorithm problem?	Was the fall of Soviet union inevitable?	How do I replace text in a spreadsheet with Google Apps Script?
What are the top 5 books every beginner programmer should read?	What things make living in the Bay Area pleasurable?	How do movie production companies make money?	How do movie production companies make money?
What does さあひる mean?	What does "我家小哥" mean?	What do '...!' and '...?' mean?	 What is this and what does it mean?
What are some positive things Hillary Clinton has done for Maryland?	What are some positive things Hillary Clinton has done for Maryland?	Is there a cultural capital of India? If yes, which city is that?	Why is weed legal in N Korea?
How do I remove my questions?	What is the best medicine for sex?	What is the best way to remove spray paint from fabric?	What is the best way to remove spray paint from fabric?
Can I apply online for passport twice?	Can I promote Amazon affiliate products locally?	Where can I find free hosting for ASP.NET?	I am unable to sync and login on facebook?
How would an idiot (below average intelligence) INTJ act?	Can you write any program without using the main function in C?	What are some good lawyers in Rapid City, South Dakota area?	How do I make creative decisions and stick to them (projects)?
What is power factor?	What is this model’s name?	What is time in physics?	What is the physics of time?
How do you handle a husband who cannot express his emotion properly?	How do you handle a husband who cannot express his emotion properly?	How do you calculate internet speed? Request	What does 'independence in fact and appearance' mean for auditors?
Why are all the planets and moons round?	Why are all the planets and moons round?	Why are all the planets and moons round?	Why are all the planets and moons round?
What is the most painless and quick way to die?	What is the most painless and quick way to die?	What is the most painless and quick way to die?	What is the most painless and quick way to die?
How should I prepare for a campus interview?	How should I prepare for a campus interview?	How should I prepare for a campus interview?	How should I prepare for a campus interview?
What is a tonsil stone?	What is a tonsil stone?	Who is ‏@Being_Humor on Twitter?	Who is ‏@Being_Humor on Twitter?
What is photobleaching in microscopy?	What does spatial data mean?	What is coalition government?	How do glands produce sweat?
Is best for hotel management?	Is best for hotel management?	What are Quora credits?	What are Quora credits?
How can I improve my voice for singing?	How can I improve my voice for singing?	What is the best Renaissance festival?	What are the most abundant elements in the universe?
Is Raina really a kind hearted and down to earth personality?	Is deep web really that dangerous?	Is deep web really that dangerous?	Is deep web really that dangerous?
How do I change lin space using HTML?	Can a company reject my employment after I have accepted the offer letter?	Is Somalia a good example of Anarcho-Capitalism?	As a manufacturer, how do I determine the discount rate for wholesale?
How did wings evolve, given that they're not useful unless they're evolved enough to enable flight?	Should someone who wants to become a fiction author go to college? If so, what are the best schools, and what should they major in?	What kind of dating is considered vile, which is decent, which is bad but people still use it?	How many intruders are shot in the USA every year by armed home owners?
What is the best time to go skimboarding in summer? Why?	Is psychiatry legitimate?	How do we know that some entity is a form of energy?	Do you believe in the afterlife? If so, what do you think it will be like?
What's best way to reply when someone wishes you happy birthday?	What's best way to reply when someone wishes you happy birthday?	What's best way to reply when someone wishes you happy birthday?	What's best way to reply when someone wishes you happy birthday?
How long does it take a woman to get pregnant after sex?	How long does it take a woman to get pregnant after sex?	How long does it take a woman to get pregnant after sex?	How long does it take a woman to get pregnant after sex?
What does "bypass proxy for" means?	Can we convert one element to another element?	How do I meet guys?	What is your typical day like?
What are the fundamental principles of the universe?	What is the psychology behind the belief in conspiracy theories?	What makes Indians sad?	How many states are there in Pakistan?
Is rubber brittle or ductile material?	How would you describe your sister?	Do soldiers age prematurely because of their diet and training?	How much will cotton shorts shrink?
What is your review of movie shivaay?	How did Tim Cook become the CEO of Apple?	How did Tim Cook become the CEO of Apple?	What's the quickest way to get rid of a cold?
What is the difference between Android 5.0 and iOS 8?	What is the preferred order to read the Dan Brown books?	What are EPOS and EFTPOS? What are their differences?	What are some good website to learn basic English grammar?
What is the difference between boiling, evaporation and vaporisation?	What is the difference between boiling, evaporation and vaporisation?	What is the difference between boiling, evaporation and vaporisation?	Why are Indian parents so much against love marriages?
I want to get a tattoo but I am scared of the pain. How do I overcome the fear?	What are the best websites for bank exam preparation?	What are the best websites for bank exam preparation?	What colors look best on olive skin?
Is it a good time to buy a house in London?	Is it a good time to buy a house in London?	Have you ever randomly met a celebrity?	How can I get quality backlinks for my site?
Is my resume ready to be submitted for Google internship?	What are the benefits of using a vitamin c serum on my face?	What would happen if a candidate won the presidency, but refused to be president?	What would happen if a candidate won the presidency, but refused to be president?
Why is exporting nuclear waste into the sun a bad idea?	What does Michelle Obama think of Trump's wife plagiarizing her?	How can I detect if there is a spy software on my iPhone 5s?	What makes you feel proud about Indian Culture?
What is the best age to get married? Best age to have children?	What is the best age to get married? Best age to have children?	What is the fastest way to learn and start using WordPress?	How to get rid of pimples in your mouth?
What do dodo birds taste like?	What do dodo birds taste like?	Which is the best unedited photo you have taken?	How do I earn money through blogging in India as a beginner?
How could I become a secret agent for the U.S. Government?	How much cash can you keep at home legally in India?	Is space time and dimensions created or caused by energy?	How about using a lie detector on politicians before they give their nomination?
Can you make money off BDSM?	Airbrush Foundation Makeup?	What are some examples of psychological barriers to communication?	What are some examples of psychological barriers to communication?
How can one get an internship in MIT like institutions?	What are some hacks when dealing with a long-term power outage?	What is Avast Antivirus tech support number?	Does Jesus teach us to open our third eye?
How do other countries perceive LCA-tejas and ARJUN tank?	How do other countries perceive LCA-tejas and ARJUN tank?	How did Severus Snape create sectumsempra?	What is a Terrahawk, as defined be Charlie Brooker?
What is the temperament of a Lab/Pitbull mix?	What makes a great surgeon ?	Which is the best video player?	How do i can built public speak confidence?
Which countries can Canada beat in war?	How many accents are there in the British Isles and North America?	How do you wish someone "happy birthday" in Latin?	Which would be the best option in canada between MS and PG?
Which is the best iPhone to buy?	What does a biotechnology company do?	How can I make my husband make love to me?	How do I make my husband love me?
How do I know who viewed my WhatsApp display pic?	How do I know who viewed my WhatsApp display pic?	How do I know if someone is checking my last seen on Whatsapp?	How do I know if someone is checking my last seen on Whatsapp?
What does OR staff do when they have pain during surgery?	Are men superior to women?	Why are there Greek Orthodox Churches?	Why are there Greek Orthodox Churches?
How much are 4 tons of gold worth?	One of my friends read my diary, so what should I do now?	How can I stop the habit of stealing?	What is it like to not get married and live alone?
I read that Finnish uses cardinal directions (rather than left and right) like Guugu Yimithirr. Wikipedia provided no answers. Is this true?	How much does Siemens Kolkata can pay to a Dual degree student(Mechanical Dept.) of IIT Kharagpur?	Where can I find das guptha solution to problem pluss iit jee?	Why are Mercedes-Benz AMG's typically V8 engines and not V12 engines?
What is the formula used to calculate the energy of a photon?	Who is smarter, men or women?	What is the best toothpaste for gingivitis?	Is being selfish good, in the case of studies?
How and where do I find startups looking for tech partners?	How and where do I find startups looking for tech partners?	How and where do I find startups looking for tech partners?	Which branch of engineering should handle this problem?
Why do Indian men/women want a virgin bride/groom?	Are men funnier than women?	What is the difference between phlegm and sputum?	What is the difference between phlegm and sputum?
How many zeros are in 1 million?	How many zeros are in 1 million?	How many zeros are in 1 million?	How many zeros are in 1 million?
Why do Muslims don't accept that they are Indians first and why they always talk they are minority and wants special reservations?	What makes a trans person say they are woman or a man? What specific things do they take into account that make them decide to be one or the other?	I have been offered a software engineer job in Dubai at 3000EAD plus accommodation. I have 2+ years of experience. Is it a good offer?	History tells us that India is a country of all religions. Sufism, the Bhakti movement, Buddhism, Jainism, Sikhism and other religions helped to build India into a more open-minded country towards religion. Is that true? How?
Will Biharis ever get respect in India?	Where can I watch a bomb trial, to see explosion clouds?	Which is the best laptop to buy under 40K?	What is the full life cycle of an enterprise server?
How do I talk to people comfortably?	How do I talk to people comfortably?	Why are some people more resilient than others?	Why do I feel detached from my emotions?
How much is the domain tradebusiness.online worth?	How much is the domain tradebusiness.online worth?	How much is the domain tradebusiness.online worth?	Does Airbnb have to pay taxes in all 178 countries where it operates?
How do I forget someone whom I once loved and cared for deeply?	How do I forget someone whom I once loved and cared for deeply?	How do I forget someone whom I once loved and cared for deeply?	How do I forget someone whom I once loved and cared for deeply?
Is height-growth possible after age 20? If it is, what should be done to stimulate?	What is the most effective way to lose 20 pounds in 5 weeks?	How does Islam respond to the existence of suffering?	What are the top 10 books one must read before turning 20 something?
What is your biggest regret or mistake?	What is your biggest mistake or regret?	What is your biggest regret or mistake?	What is your biggest mistake or regret?
How do I get rid of bedbugs?	How do I get rid of bedbugs?	Should you go to the ER if you swallowed a screw or nail?	Will there be a cure to T1 diabetes soon?
Why is the Indian stock market falling since PM Modi's demonetisation move?	Can Narendra Modi become prime minister for the second term?	Why are so many people on Quora from Silicon Valley or India?	Is Modi's demonetisation failing?
Is/was there any place on the earth/ (with) in the world where castes (sub) systems do/did not exist?	Are images of classical works of art in public domain?	What is the salary range of Software Engineers in Munich?	What are some home remedies to cure itchy eyes?
How many students are writing CAT 2016?	How many Twitter users are there in Pakistan in 2016?	What's it like to switch from Android to iPhone in 2016?	What are the latest trends in SEO and SMO 2016?
Why is India performing bad in Olympics?	Why is India performing bad in Olympics?	Why is India performing bad in Olympics?	Why is India performing bad in Olympics?
What are the best sites to book a hotel online?	What are the best sites to book a hotel online?	What are the best sites to book a hotel online?	What are the best sites to book a hotel online?
Should one clear credit card debt or shiuld give down payment for a first house?	Should I join NIIT technology as a fresher?	Do I need to ask a question for the annoying "Improve your feed" thing to disappear from my Quora home page?	Is it possible to hack NASA's New Horizons satellite?
Has Ancient Australia been scientifically tested?	Indian student get job in Germany?	Do Indian student get job In Germany?	Are there other wizard schools in the UK?
Why does the girl's father traditionally hate the daughter's boyfriend?	What is line-in recording on a DVD recorder?	Are the kissing scenes in Bollywood real?	How I Get Free PSN Codes No Survey?
Why do China execute so many people?	What should I do to learn to trust men again?	What are the similarities between mammals and reptiles?	What is MGTOW?
Is it the 'sole purpose' or the 'soul purpose'?	How can I choose the perfect site for a school?	Which novel should read by every student?	How does one prepare for NTSE stage 2?
How can I sign up for Yahoo without a phone number?	What is the most meaningful tattoo you have seen?	What services does the American Lung Association offer?	What is the difference between an angel, Series A and B round of funding?
Now, that Mr. Najeeb Jung has resigned, can we believe Mr. Arvind Kejriwal's allegations about him to be correct?	How do you convert a CString to a long?	Do you think PM Modi is afraid of attending the parliament and answering harsh questions after taking such an unplanned move?	Do you think PM Modi is afraid of attending the parliament and answering harsh questions after taking such an unplanned move?
How do I setup a playlist on iPhone without iTunes?	Why does the first step on the moon not match the Neil Armstrongs suit boots?	Why does the first step on the moon not match the Neil Armstrongs suit boots?	Why does the first step on the moon not match the Neil Armstrongs suit boots?
Which laptop should I buy for 50k INR?	Which laptop should I buy for 50k INR?	Which laptop should I buy for 50k INR?	Which is the best laptop to buy under INR 50K?
What happens if Hindus take over the whole world?	How much time does it take to learn AutoCAD?	What are the pros and cons of Linux over Windows?	Why dont Chinese revolt against communist rule?
What advantages and disadvantages does assembly language have over high level language?	What is the difference between casual and formal wears?	What is the solution to the math question below given?	What fonts are usually used in designing a CV?
Is there any future of a COBOL developer in India?	How stealthy is the F-22 Raptor?	How do I prepare for mosigma written test?	How do I prepare for mosigma written test?
What is the best temperature to Ski/Snowboard in Tahoe?	What does the Spanish word “VENGA” mean?	What does the Spanish word “VENGA” mean?	How does the form of government in Jamaica differs from the one in Japan?
How many seats are left vacant in aiims 2015?	What is Zomato?	Which one is best laptop under 40k?	What are the prerequisites for learning Hadoop & big data?
Why do masturbation causes hair fall in 90% men but not for women?	Why do masturbation causes hair fall in 90% men but not for women?	Why do masturbation causes hair fall in 90% men but not for women?	Is bin Laden's first name Osama or Usama? What is the significance, if any, between it starting with an "O" and a "U"?
Who is Tom Brady?	In French, how do you say "love"?	What is Wall Street?	What does Wall Street mean?
What should I do to know if my girlfriend still loves me?	What should I do to know if my girlfriend still loves me?	How do I know if my girlfriend still loves me?	What should I do to know if my girlfriend still loves me?
Were outhouses usually painted in the mid 1800's? If so what was a popular color to paint an outhouse?	Why can't we store the kinetic energy of a moving vehicle which is lost upon braking?	Ive told my friend that I have been intimate with that I have feelings for him now he wants a two week break over Christmas to think things over?	Is it bad to leave your rechargeable device to the charger even when it fully charged?
If someone takes a cellphone picture of me without my consent, how can I make sure that they've deleted it?	If someone takes a cellphone picture of me without my consent, how can I make sure that they've deleted it?	If someone takes a cellphone picture of me without my consent, how can I make sure that they've deleted it?	If someone takes a cellphone picture of me without my consent, how can I make sure that they've deleted it?
What will happen to the election if Hillary Clinton gets indicted?	What are some abiotic and biotic factors? What are some examples?	How do you win a city council election in a major city?	What are the advantages of adding railway budget to general budget?
What companies use SAP?	What companies use SAP?	Why are some people lactose intolerant?	How important is it to have a leader in a company?
What is your favorite Twitter account?	What are some of the best things about pune?	What are the best things to do in Pune?	What are some of the best things about pune?
How can I get more views on YouTube videos?	How can I get more views on YouTube videos?	How can I get more views on my YouTube videos?	How do I get more views on my YouTube Videos?
What is the best IPS 21.5 inch (22'') desktop monitor?	What are the advantages of changing 1000 and 500 rs currency notes in India?	What are the advantages of changing 1000 and 500 rs currency notes in India?	What are the chances that I will go to Air Force Academy after I've been recommended (After AFCAT & AFSB) and declared medically fit?
Can skipping increase your height?	Can skipping increase your height?	Does skipping increase height?	Can skipping increase your height?
How can an individual become an expert in reading?	How has the American culture changed in the past few years?	What is the difference between a yield to call and a yield to put?	When did you realize that you were not an intellectual?
What would happen if Thors mjolnir hammer and beta ray bills storm breaker hammer were to strike against each other what would happen.?	Aside from Genisys System (CMC), what other non-life insurance systems are there in the market (preferably with integrated business intelligence capability)?	Do Syntel declare result to all candidates belonging to one batch at a time or it takes some time gap?	I am doing 3rd integrated MS.c.Life sciences and I am going to apply for INSA summer research fellowship.What the write up should contain generally?
How do I come out of comfort zone?	How do I come out of comfort zone?	How can I come out of my comfort zone?	How can I come out of my comfort zone?
Why does my mouth smell bad?	Why does my mouth smell bad?	What are some sentence examples using "abandon"?	What are some sentence examples using "abase"?
How do I increase stamina in football?	How do I increase stamina in football?	How is projectile motion affected by gravity?	Energy doesn't lie. Is this true?
Why did Modi ban 500 and 1000 rupees notes and not 100 rupee notes?	Why did Modi ban 500 and 1000 rupees notes and not 100 rupee notes?	Why did Modi ban 500 and 1000 rupees notes and not 100 rupee notes?	Why did Modi ban 500 and 1000 rupees notes and not 100 rupee notes?
Why can I not add my friend back on Snapchat?	Why can I not add my friend back on Snapchat?	Why can I not add my friend back on Snapchat?	Why can I not add my friend back on Snapchat?
